[ABS_TIME]
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 0, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=3.75
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 1, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=4.50
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 2, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=4.50
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 3, STOP_TIME=2.00, START_TIME=3.00, RUN_TIME=9.00
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 4, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=5.00
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 5, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=5.00
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 6, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=3.75
ABS_NUMBER=  16, DIRECTION= 0, TYPE= 7, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=2.87
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 0, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=3.75
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 1, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=4.00
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 2, STOP_TIME=2.00, START_TIME=2.00, RUN_TIME=4.00
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 3, STOP_TIME=2.00, START_TIME=3.00, RUN_TIME=9.00
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 4, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=5.00
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 5, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=5.00
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 6, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=3.75
ABS_NUMBER=  16, DIRECTION= 1, TYPE= 7, STOP_TIME=1.00, START_TIME=2.00, RUN_TIME=2.87
